,id,season,player_name,team_id,team_title,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,npg,npxG,xGChain,xGBuildup
0,,2015,Harry Kane,82,Tottenham,38,3382,25,22.732073578983545,1,3.088511780835688,159,44,5,0,F,20,18.926266126334667,26.939671490341425,8.189033068716526
1,,2015,Sergio Agüero,88,Manchester City,30,2399,24,20.07721365988255,2,2.0287597198039293,119,27,1,0,F S,20,16.271369472146034,18.786789989098907,3.9259585225954647
2,,2015,Jamie Vardy,75,Leicester,36,3154,24,22.135407269001007,6,6.267152491956949,115,48,5,1,F,19,17.56843115389347,24.595971267670393,2.8863560035824776
3,,2015,Romelu Lukaku,72,Everton,37,3194,18,20.05878111720085,6,5.680434506386519,118,51,3,0,F S,17,18.53648015856743,24.024903159588572,7.63484107516706
4,,2015,Riyad Mahrez,75,Leicester,37,3087,17,11.882148338481786,11,11.45409781858325,86,68,1,0,M S,13,7.315135253593326,21.185062699019912,7.174407683312893
5,,2015,Olivier Giroud,83,Arsenal,38,2411,16,14.503995144739747,6,5.762218959629536,101,36,2,0,F S,15,13.742826307192445,18.885235082358122,6.915774317458272
6,,2015,Odion Ighalo,90,Watford,37,3160,15,16.093813683837652,3,2.2321923915296797,109,37,4,0,F M S,15,16.093813683837652,18.002255536615852,2.764592749066651
7,,2015,Jermain Defoe,77,Sunderland,33,2558,15,11.712618228048086,1,1.1022662846371531,85,22,3,0,F M S,14,10.951449390500784,12.26389168575406,1.3269577436149123
8,,2015,Alexis Sánchez,83,Arsenal,30,2463,13,13.104380078613758,4,8.554748680442573,107,62,1,0,M S,13,13.104380078613758,27.01940755546093,11.864847148768606
9,,2015,Troy Deeney,90,Watford,38,3291,13,12.199144696816802,7,7.923331122845411,94,56,6,0,F M S,7,6.870962786488235,15.776730716228485,3.9903320800513034
10,,2015,André Ayew,84,Swansea,34,2967,12,8.462969841435553,2,2.3377326708287,67,23,5,0,F M,12,8.462969841435553,12.215985130518675,3.83033540006727
11,,2015,Diego Costa,80,Chelsea,28,2386,12,12.080561252310872,6,2.8887829119339585,68,30,8,0,F S,12,12.080561252310872,18.07464148849249,5.290680217556655
12,,2015,Anthony Martial,89,Manchester United,31,2632,11,7.273542748764157,4,6.173325615003705,57,37,2,0,F M S,11,7.273542748764157,15.5774281360209,5.890168622136116
13,,2015,Gylfi Sigurdsson,84,Swansea,36,2921,11,7.710647851228714,3,5.4298335667699575,88,57,6,0,F M S,8,5.427141267806292,10.766502061858773,4.88439579308033
14,,2015,Georginio Wijnaldum,86,Newcastle United,38,3178,11,7.928207719698548,5,3.817440377548337,54,47,1,0,M S,10,7.1670388747006655,14.63786890078336,5.733466842211782
15,,2015,Sadio Mané,74,Southampton,37,2614,11,12.514566510915756,6,5.139248859137297,86,41,4,2,F M S,11,11.753397673368454,17.627265740185976,5.373993405140936
16,,2015,Graziano Pellè,74,Southampton,30,2167,11,7.350174624472856,6,3.987357068806887,80,37,6,0,F S,11,7.350174624472856,13.013468904420733,3.892818572930992
17,,2015,Marko Arnautovic,85,Stoke,34,2836,11,12.059161096811295,6,6.117620061151682,70,50,2,0,F M S,8,9.775691270828249,18.740881353616714,6.815893989987671
18,,2015,Roberto Firmino,87,Liverpool,31,2005,10,7.131028613075613,7,5.39667608961463,63,49,1,0,F M S,10,7.131028613075613,16.398779906332493,6.829728804528713
19,,2015,Dele Alli,82,Tottenham,33,2490,10,8.315971275791526,9,6.802972698584199,74,55,7,0,M S,10,8.315971275791526,18.699673418886963,6.46188039239496
20,,2015,Shane Long,74,Southampton,28,2114,10,10.617384029552339,4,2.712640970014036,64,33,2,0,F M S,10,10.617384029552339,13.091040017083287,3.420834032818675
21,,2015,Dimitri Payet,81,West Ham,30,2576,9,5.74861828610301,12,11.665764695033431,69,119,3,0,F M S,9,5.74861828610301,16.93307714909315,6.889103649184108
22,,2015,Andy Carroll,81,West Ham,27,1411,9,6.137790015898645,2,2.761613873764873,56,20,2,0,F S,8,5.376621148549019,8.771359317004679,3.0700844088569283
23,,2015,Christian Benteke,87,Liverpool,29,1496,9,9.98186818882823,3,2.7818555179983377,61,31,2,0,F S,8,9.22069937363267,10.235846016556023,1.2525702472776177
24,,2015,Aleksandar Mitrovic,86,Newcastle United,34,2103,9,10.339356865733864,4,2.224446185864508,79,30,4,2,F S,7,8.817019175738096,10.392625395208595,2.8724025208503012
25,,2015,Salomón Rondón,76,West Bromwich Albion,34,2581,9,9.896931395865977,2,1.9187825126573443,71,28,1,1,F S,9,9.896931395865977,9.41314269322902,2.5629016431048512
26,,2015,Daniel Sturridge,87,Liverpool,14,981,8,5.74158351123333,1,0.5159464338794351,48,7,0,0,F S,8,5.74158351123333,7.218587189912796,1.6658320389688015
27,,2015,Philippe Coutinho,87,Liverpool,26,2019,8,6.496308712288737,5,5.286337033845483,111,50,2,1,F M S,8,6.496308712288737,16.146169386804107,6.785505770705639
28,,2015,Michail Antonio,81,West Ham,26,2074,8,5.896231018938124,3,2.8487461023032665,54,24,3,0,D F M S,8,5.896231018938124,10.222167086787524,4.378211556933819
29,,2015,Ross Barkley,72,Everton,38,3102,8,8.793573524802923,8,5.907710941508412,95,56,4,0,M S,6,7.271235790103674,20.87610214017332,11.840944326482713
30,,2015,Kelechi Iheanacho,88,Manchester City,26,727,8,4.937834335491062,1,1.585575483739376,28,14,1,0,F M S,8,4.937834335491062,6.36071580927819,1.1206866605207324
