,Unnamed: 0,Unnamed: 0.1,index,season,team,description,situation,shotsF,goalsF,xGF,shotsA,goalsA,xGA,xGD,xGF/Sh,xGA/Sh,team_id
0,0,0,DirectFreekick,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,DirectFreekick,19,1,1.015746109187603,19.0,3.0,1.0132534280419352,0.0024926811456680307,0.05346032153618963,0.05332912779168079,71
1,1,1,FromCorner,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,FromCorner,61,6,5.696121140383184,77.0,6.0,5.428195081651211,0.2679260587319732,0.09337903508824892,0.0704960400214443,71
2,2,2,OpenPlay,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,OpenPlay,297,20,21.955133871175352,364.0,42.0,39.60580811370164,-17.650674242526293,0.07392300966725708,0.10880716514753196,71
3,3,3,Penalty,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,Penalty,1,1,0.7611688375473022,4.0,4.0,3.044675350189209,-2.2835065126419067,0.7611688375473022,0.7611688375473022,71
4,4,4,SetPiece,2014,Aston_Villa,Aston Villa xG stats for the 2014/2015 season ,SetPiece,39,3,3.766058181412518,17.0,2.0,2.473270788323134,1.2927873930893838,0.09656559439519276,0.14548651696018436,71
5,5,0,DirectFreekick,2014,Everton,Everton xG stats for the 2014/2015 season ,DirectFreekick,35,1,1.733507364988327,19.0,2.0,1.4282689616084099,0.30523840337991714,0.04952878185680935,0.07517205061096895,72
6,6,1,FromCorner,2014,Everton,Everton xG stats for the 2014/2015 season ,FromCorner,55,5,5.277489903382957,73.0,7.0,6.751483103260398,-1.473993199877441,0.09595436187969013,0.09248606990767667,72
7,7,2,OpenPlay,2014,Everton,Everton xG stats for the 2014/2015 season ,OpenPlay,362,33,31.37545660929755,382.0,36.0,34.914143306203194,-3.5386866969056427,0.08667253206988272,0.09139828090629107,72
8,8,3,Penalty,2014,Everton,Everton xG stats for the 2014/2015 season ,Penalty,7,4,5.32810765504837,4.0,4.0,3.044675350189209,2.2834323048591614,0.7611582364354815,0.7611688375473022,72
9,9,4,SetPiece,2014,Everton,Everton xG stats for the 2014/2015 season ,SetPiece,26,5,3.3767972895875573,27.0,1.0,2.427164557389915,0.9496327321976424,0.12987681883029067,0.0898949836070339,72
